Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,24.117500,24.332500,23.422501,23.504999,21.776711,868619200
2016-02-08,23.282499,24.087500,23.147499,23.497499,21.887894,924489200
2016-02-15,23.754999,24.722500,23.652500,24.010000,22.365282,673265200
2016-02-22,24.077499,24.504999,23.330000,24.227501,22.567883,636211600
2016-02-29,24.215000,25.937500,24.162500,25.752501,23.988419,807215200
2016-03-07,25.597500,25.707500,25.037500,25.565001,23.813768,622057200
2016-03-14,25.477501,26.625000,25.445000,26.480000,24.666084,728292800
2016-03-21,26.482500,26.912500,26.222500,26.417500,24.607866,479134400
2016-03-28,26.500000,27.605000,26.219999,27.497499,25.613882,591860000
2016-04-04,27.605000,28.047501,27.030001,27.165001,25.304159,582890400
2016-04-11,27.242500,28.097500,27.165001,27.462500,25.581285,649240000
2016-04-18,27.222500,27.237499,26.155001,26.420000,24.610197,756212000
2016-04-25,26.250000,26.412500,23.127501,23.434999,21.829670,1397696400
2016-05-02,23.492500,23.975000,22.962500,23.180000,21.592140,902429200
2016-05-09,23.250000,23.442499,22.367500,22.629999,21.208157,864199200
2016-05-16,23.097500,23.857500,22.912500,23.805000,22.309332,850828800
2016-05-23,23.967501,25.182501,23.917500,25.087500,23.511253,816000000
2016-05-30,24.900000,25.100000,24.157499,24.480000,22.941923,560708000
2016-06-06,24.497499,25.472500,24.387501,24.707500,23.155132,499457600
2016-06-13,24.672501,24.780001,23.825001,23.832500,22.335106,766930400
2016-06-20,24.000000,24.222500,23.162500,23.350000,21.882919,826916000
2016-06-27,23.250000,24.117500,22.875000,23.972500,22.466309,737313600
2016-07-04,23.847500,24.222500,23.592501,24.170000,22.651403,450824000
2016-07-11,24.187500,24.825001,24.182501,24.695000,23.143417,571642400
2016-07-18,24.674999,25.250000,24.577499,24.665001,23.115305,590262000
2016-07-25,24.562500,26.137501,24.105000,26.052500,24.415627,1026284000
2016-08-01,26.102501,26.912500,26.000000,26.870001,25.181761,680596800
2016-08-08,26.879999,27.235001,26.790001,27.045000,25.483068,498023200
2016-08-15,27.035000,27.557501,27.020000,27.340000,25.761034,529485600
2016-08-22,27.215000,27.330000,26.577499,26.735001,25.190971,494422000
2016-08-29,26.655001,27.000000,26.375000,26.932501,25.377068,532002400
2016-09-05,26.975000,27.190001,25.782499,25.782499,24.293482,675214800
2016-09-12,25.662500,29.032499,25.632500,28.730000,27.070753,1552912800
2016-09-19,28.797501,29.045000,27.887501,28.177500,26.550158,804382800
2016-09-26,27.910000,28.660000,27.887501,28.262501,26.630255,625536000
2016-10-03,28.177500,28.639999,28.070000,28.514999,26.868170,504117600
